"code","name","requirement_type","semester","start_year","end_year","semester_season"
"IML311E-00002","L Operációs rendszerek az iskolában ea. ","Kollokvium","2018/19/2","2018","2019","spring"
"IML253L-00001","L Üzleti webtechnológiák lab. gyak.","Gyakorlati jegy","2014/15/1","2014","2015","fall"
"IB103g-00001","Programozás alapjai gyak.","Gyakorlati jegy","2012/13/1","2012","2013","fall"
"IMN253L-00002","Üzleti webtechnológiák gyak","Gyakorlati jegy","2013/14/1","2013","2014","fall"
"ITL311MKG","Operációs rendszerek az iskolában gyak","Gyakorlati jegy","2021/22/2","2021","2022","spring"
"IMEN551G","Thesis Work II.","Gyakorlati jegy","2022/23/1","2022","2023","fall"
"IB985-00001","Szakdolgozat és Diplomamunka II.","Gyakorlati jegy","2022/23/1","2022","2023","fall"
"IMN5022miG","Szakdolgozat és Diplomamunka II.","Gyakorlati jegy","2021/22/1","2021","2022","fall"
"IB955","Szakdolgozat készítés 2. (pti2)","Gyakorlati jegy","2021/22/1","2021","2022","fall"
"IMN5022miG","Szakdolgozat és Diplomamunka II.","Gyakorlati jegy","2020/21/2","2020","2021","spring"
"IMN602G2","Szakdolgozat és Diplomamunka II.","Gyakorlati jegy","2020/21/2","2020","2021","spring"
"IB970","Szakdolgozat készítése 1. BSc (gi)","Gyakorlati jegy","2021/22/1","2021","2022","fall"
"IB980-00001","Szakdolgozat és Diplomamunka I.","Gyakorlati jegy","2021/22/1","2021","2022","fall"
"IB980g","Szakdolgozat készítése 1. BSc (mi)","Gyakorlati jegy","2021/22/1","2021","2022","fall"
"IML311E-00001","L Operációs rendszerek az iskolában ea. MSc.","Kollokvium","2020/21/2","2020","2021","spring"
"IML311E-00002","L Operációs rendszerek az iskolában ea. ","Kollokvium","2021/22/2","2021","2022","spring"
"IMEN551G","Thesis Work II.","Gyakorlati jegy","2021/22/2","2021","2022","spring"
"IMN5022miG","Szakdolgozat és Diplomamunka II.","Gyakorlati jegy","2021/22/2","2021","2022","spring"
