Tárgykód,Tárgy neve,Követelmény,Típus,Félév,Kurzus,,,,,,,,,,,,,,,,
IML311E-00002,L Operációs rendszerek az iskolában ea.,Kollokvium,O,2020/21/1,Nem,,,,,,,,,,,,,,,,50
IMN502G-00001,Diplomamunka készítése I. (GI),Gyakorlati jegy,O,2021/22/1,Nem,,,,,,,,,,,,,,,,51
ITN311MKE,Operációs rendszerek az iskolában,Kollokvium,O,2020/21/2,Nem,,,,,,,,,,,,,,,,52
IMN311L,Operációs rendszerek az iskolában gyak,Gyakorlati jegy,O,2019/20/2,Nem,,,,,,,,,,,,,,,,53
IML311E-00001,L Operációs rendszerek az iskolában ea. MSc.,Kollokvium,O,2019/20/1,Nem,,,,,,,,,,,,,,,,54
IB955,Szakdolgozat készítés 2. (pti2),Gyakorlati jegy,O,2021/22/2,Nem,,,,,,,,,,,,,,,,55
IB950,Szakdolgozat készítés 1. (pti2),Gyakorlati jegy,O,2021/22/2,Nem,,,,,,,,,,,,,,,,56
IB980-00001,Szakdolgozat és Diplomamunka I.,Gyakorlati jegy,O,2021/22/2,Nem,,,,,,,,,,,,,,,,57
IMN502G,Szakdolgozat és Diplomamunka I.,Gyakorlati jegy,O,2021/22/2,Nem,,,,,,,,,,,,,,,,58
ITL311MKG,Operációs rendszerek az iskolában gyak,Gyakorlati jegy,O,2021/22/2,Nem,,,,,,,,,,,,,,,,59
IMN253L-00002,Üzleti webtechnológiák gyak,Gyakorlati jegy,O,2014/15/1,Nem,,,,,,,,,,,,,,,,60
IML253L-00001,L Üzleti webtechnológiák lab. gyak.,Gyakorlati jegy,O,2013/14/1,Nem,,,,,,,,,,,,,,,,61
IMN311E,Operációs rendszerek az iskolában,Kollokvium,O,2017/18/1,Nem,,,,,,,,,,,,,,,,62
IMN249L,Szoftverfejlesztés gyak.,Gyakorlati jegy,O,2013/14/2,Nem,,,,,,,,,,,,,,,,63
IML5021miG,Diplomamunka készítése I. gy.,Gyakorlati jegy,O,2020/21/2,Nem,,,,,,,,,,,,,,,,64
IB980g,Szakdolgozat készítése 1. BSc (mi),Gyakorlati jegy,O,2020/21/2,Nem,,,,,,,,,,,,,,,,65
IMN551,Diplomamunka készítése II. MSc,Gyakorlati jegy,O,2021/22/1,Nem,,,,,,,,,,,,,,,,66
IMN602G2,Szakdolgozat és Diplomamunka II.,Gyakorlati jegy,O,2021/22/1,Nem,,,,,,,,,,,,,,,,67
IB985g,Szakdolgozat és Diplomamunka II.,Gyakorlati jegy,O,2021/22/1,Nem,,,,,,,,,,,,,,,,68
IMN552G,Szakdolgozat és Diplomamunka II.,Gyakorlati jegy,O,2020/21/2,Nem,,,,,,,,,,,,,,,,69
IML311E-00001,L Operációs rendszerek az iskolában ea. MSc.,Kollokvium,O,2020/21/2,Nem,,,,,,,,,,,,,,,,70
IML311L,L Operációs rendszerek az iskolában lab. gyak.,Gyakorlati jegy,O,2018/19/2,Nem,,,,,,,,,,,,,,,,71
IB611g,Rendszerfejlesztés II. gyak.,Gyakorlati jegy,O,2019/20/2,Nem,,,,,,,,,,,,,,,,72
